"Time [s]","Committed size","Free size","Used size"
396.53,262144000,236091000,26053000
397.53,262144000,236091000,26053000
398.53,262144000,236091000,26053000
399.54,262144000,236091000,26053000
400.54,262144000,236091000,26053000
401.55,262144000,236091000,26053000
402.55,262144000,236091000,26053000
403.55,262144000,236091000,26053000
404.56,262144000,235903000,26241000
405.56,262144000,235903000,26241000
406.56,262144000,235903000,26241000
407.57,262144000,235903000,26241000
408.57,262144000,235903000,26241000
409.58,262144000,235903000,26241000
410.58,262144000,235903000,26241000
411.59,262144000,235903000,26241000
412.59,262144000,235903000,26241000
413.59,262144000,235903000,26241000
414.59,262144000,235903000,26241000
415.59,262144000,235903000,26241000
416.6,262144000,235903000,26241000
417.6,262144000,235903000,26241000
418.61,262144000,235903000,26241000
419.61,262144000,235903000,26241000
420.62,262144000,235903000,26241000
421.62,262144000,235903000,26241000
422.62,262144000,235903000,26241000
423.63,262144000,235903000,26241000
424.63,262144000,235903000,26241000
425.64,262144000,235903000,26241000
426.64,262144000,235903000,26241000
427.64,262144000,235903000,26241000
428.64,262144000,235903000,26241000
429.65,262144000,235903000,26241000
430.65,262144000,235903000,26241000
431.66,262144000,235903000,26241000
432.66,262144000,235903000,26241000
433.67,262144000,235903000,26241000
434.67,262144000,235903000,26241000
435.68,262144000,235903000,26241000
436.68,262144000,235903000,26241000
437.69,262144000,235903000,26241000
438.69,262144000,235903000,26241000
439.69,262144000,235903000,26241000
440.7,262144000,235903000,26241000
441.7,262144000,235903000,26241000
442.7,262144000,235903000,26241000
443.71,262144000,235903000,26241000
444.71,262144000,235903000,26241000
445.71,262144000,235903000,26241000
446.72,262144000,235903000,26241000
447.72,262144000,235903000,26241000
448.72,262144000,235903000,26241000
449.73,262144000,235903000,26241000
450.73,262144000,235903000,26241000
451.73,262144000,235903000,26241000
452.73,262144000,235903000,26241000
453.74,262144000,235903000,26241000
454.74,262144000,235903000,26241000
455.74,262144000,235903000,26241000
456.75,262144000,235903000,26241000
457.75,262144000,235903000,26241000
458.75,262144000,235903000,26241000
459.76,262144000,235903000,26241000
460.76,262144000,235903000,26241000
461.77,262144000,235903000,26241000
462.77,262144000,235903000,26241000
463.77,262144000,235903000,26241000
464.78,262144000,235903000,26241000
465.78,262144000,235903000,26241000
466.78,262144000,235903000,26241000
467.79,262144000,235903000,26241000
468.79,262144000,235903000,26241000
469.79,262144000,235903000,26241000
470.8,262144000,235903000,26241000
471.8,262144000,235903000,26241000
472.8,262144000,235903000,26241000
473.81,262144000,235903000,26241000
474.81,262144000,235903000,26241000
475.82,262144000,235903000,26241000
476.82,262144000,235903000,26241000
477.82,262144000,235903000,26241000
478.82,262144000,235903000,26241000
479.82,262144000,235903000,26241000
480.83,262144000,235903000,26241000
481.83,262144000,235903000,26241000
482.84,262144000,235903000,26241000
483.84,262144000,235903000,26241000
484.85,262144000,235903000,26241000
485.85,262144000,235903000,26241000
486.85,262144000,235903000,26241000
487.85,262144000,235903000,26241000
488.85,262144000,235903000,26241000
489.86,262144000,235903000,26241000
490.86,262144000,235903000,26241000
491.86,262144000,235903000,26241000
492.86,262144000,235903000,26241000
493.87,262144000,235903000,26241000
494.87,262144000,235903000,26241000
495.88,262144000,235903000,26241000
496.88,262144000,235903000,26241000
497.88,262144000,235903000,26241000
498.88,262144000,235903000,26241000
499.89,262144000,235903000,26241000
500.89,262144000,235903000,26241000
501.9,262144000,235903000,26241000
502.9,262144000,235903000,26241000
503.9,262144000,235903000,26241000
504.91,262144000,235903000,26241000
505.91,262144000,235903000,26241000
506.92,262144000,235903000,26241000
507.92,262144000,235903000,26241000
508.93,262144000,235903000,26241000
509.94,262144000,235903000,26241000
